year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1998,8,1998-08,0.763582766056061,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1998,9,1998-09,0.936363637447357,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1998,10,1998-10,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1998,11,1998-11,1.46782684326172,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1998,12,1998-12,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,1,1999-01,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,2,1999-02,1.57530832290649,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,3,1999-03,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,4,1999-04,1.04174089431763,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,5,1999-05,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,6,1999-06,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,7,1999-07,0.669695377349854,0.0137402097893391,0.655955167560514,0.683435587139193,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,8,1999-08,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,9,1999-09,0.805470645427704,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,10,1999-10,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,11,1999-11,1.69194161891937,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
1999,12,1999-12,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
2000,1,2000-01,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
2000,2,2000-02,1.72090566158295,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
2000,3,2000-03,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
2000,4,2000-04,0.865904450416565,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
2000,5,2000-05,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
2000,6,2000-06,nan,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
2000,7,2000-07,0.623699188232422,nan,nan,nan,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.652277294313,-124.175066833705,40,1
