PORT_GEO_ID2,NWFSC_PORT_NAME,STATE,Engagement,Reliance,PACFIN_YEAR,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,REGION,top_5_e,top_5_r
649488,Moss Landing,CA,3.2652485581558577,19.996312981592386,2009,36.8015242,-121.7872157,CCA,Top 5 Engagement Community,Top 5 Reliance Community
667000,San Francisco,CA,3.1669515984696073,-0.1292516266319748,2009,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
631708,Princeton / Half Moon Bay,CA,3.1276257644357353,0.46560697313074256,2009,37.4686953,-122.4381236,CCA,Top 5 Engagement Community,NA
649362,Morro Bay,CA,2.4402175462236126,0.40730116889551293,2009,35.366239,-120.8662381,CCA,Top 5 Engagement Community,NA
648872,Monterey,CA,2.3787321721578247,0.03112413722567594,2009,36.6012789,-121.8829434,CCA,Top 5 Engagement Community,NA
631708,Princeton / Half Moon Bay,CA,4.340693098266724,0.3233089291082445,2010,37.4686953,-122.4381236,CCA,Top 5 Engagement Community,NA
667000,San Francisco,CA,4.258571999127613,-0.11515968637232962,2010,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
607260,Bodega Bay,CA,3.465207685829359,5.729602181568338,2010,38.3202278,-123.0324159,CCA,Top 5 Engagement Community,Top 5 Reliance Community
649488,Moss Landing,CA,3.212035348857622,24.23621304044776,2010,36.8015242,-121.7872157,CCA,Top 5 Engagement Community,Top 5 Reliance Community
648872,Monterey,CA,2.759688126359687,0.01803439204114361,2010,36.6012789,-121.8829434,CCA,Top 5 Engagement Community,NA
667000,San Francisco,CA,4.842378588436249,-0.1143268935107321,2011,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
631708,Princeton / Half Moon Bay,CA,4.54431678965482,0.46141206912459753,2011,37.4686953,-122.4381236,CCA,Top 5 Engagement Community,NA
607260,Bodega Bay,CA,3.898401282028652,7.609151255648874,2011,38.3202278,-123.0324159,CCA,Top 5 Engagement Community,Top 5 Reliance Community
648872,Monterey,CA,3.2050886452263505,0.05515333475120189,2011,36.6012789,-121.8829434,CCA,Top 5 Engagement Community,NA
649488,Moss Landing,CA,2.865390583680674,21.088797229301804,2011,36.8015242,-121.7872157,CCA,Top 5 Engagement Community,Top 5 Reliance Community
631708,Princeton / Half Moon Bay,CA,5.677869329132133,0.6546002608993959,2012,37.4686953,-122.4381236,CCA,Top 5 Engagement Community,NA
607260,Bodega Bay,CA,4.333770458623611,8.34583662779672,2012,38.3202278,-123.0324159,CCA,Top 5 Engagement Community,Top 5 Reliance Community
667000,San Francisco,CA,3.9375130765000383,-0.11254940540039166,2012,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
