year,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order
1998,8,1998-08,0.763582777566121,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1998,9,1998-09,0.936363626928149,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1998,10,1998-10,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1998,11,1998-11,1.46782692323795,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1998,12,1998-12,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,1,1999-01,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,2,1999-02,1.57530832444799,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,3,1999-03,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,4,1999-04,1.04174099533905,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,5,1999-05,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,6,1999-06,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,7,1999-07,0.669695377280118,0.0137401896544799,0.655955187625638,0.683435566934598,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,8,1999-08,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,9,1999-09,0.805470640604544,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,10,1999-10,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,11,1999-11,1.69194144793415,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
1999,12,1999-12,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,1,2000-01,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,2,2000-02,1.72090570309757,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,3,2000-03,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,4,2000-04,0.86590442324607,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,5,2000-05,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,6,2000-06,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,7,2000-07,0.623699253174844,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,8,2000-08,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,9,2000-09,0.672570200351669,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,10,2000-10,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,11,2000-11,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2000,12,2000-12,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,1,2001-01,1.62362707614267,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,2,2001-02,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,3,2001-03,1.90094960136576,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,4,2001-04,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,5,2001-05,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,6,2001-06,0.876663104348524,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,7,2001-07,0.731657842121256,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,8,2001-08,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,9,2001-09,0.625951580026979,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
2001,10,2001-10,NA,NA,NA,NA,Saturation state,Monthly Aragonite Saturation at 40 m: NH05 (44.65N -124.18W),44.6522112308991,-124.17513256655,40,1
